Title:,,,,,,,,,
Date/Time:,03/03/2026 17:09,03/03/2026 17:09,,,,,,,
Device:,qTOWER96.iris.mock,3107D-1252,,,,,,,
Operator:,,,,,,,,,
Comments:,,,,,,,,,
Colors+Dyes:,Pos,Color Module,Dye,Gain,Meas,Refr,,,
,1,Blue.470.520.11.3,SybrGreen,5,*,,,,
Heated Lid:,100°C,,,,,,,,
TC Protocol:,steps,scan,°C,m:s,goto,loops,delta Temp(°C),delta Time (s),ramp (°C/s
,1,,95,10:00,0,0,0,0,8
,2,,95,00:10,0,0,0,0,8
,3,,55,00:30,0,0,0,0,6
,4,*,72,00:15,2,39,0,0,6
Melt active:,No,,,,,,,,
Meas. Repeats:,3,,,,,,,,
Color Comp.:,,,,,,,,,
,,,,,,,,,
Well,,Sample name,Sample type,Dye,Gene,Ct,Mean Ct,Std. dev. Ct,
A1,,,Standard,SybrGreen,,No Ct,,,
A2,,,Standard,SybrGreen,,No Ct,,,
A3,,,Standard,SybrGreen,,8.24,8.24,0,
A4,,,Standard,SybrGreen,,8.28,8.28,0,
A5,,,Standard,SybrGreen,,11.04,11.04,0,
A6,,,Standard,SybrGreen,,11.79,11.79,0,
A7,,,Standard,SybrGreen,,12.7,12.7,0,
A8,,,Standard,SybrGreen,,12.6,12.6,0,
A9,,,Standard,SybrGreen,,16.73,16.73,0,
A10,,,Standard,SybrGreen,,16.43,16.43,0,
A11,,,Standard,SybrGreen,,19.62,19.62,0,
A12,,,Standard,SybrGreen,,20.53,20.53,0,
B1,,,Standard,SybrGreen,,23.01,23.01,0,
B2,,,Standard,SybrGreen,,22.81,22.81,0,
B3,,,Standard,SybrGreen,,25.3,25.3,0,
B4,,,Standard,SybrGreen,,24.85,24.85,0,
B5,,,NTC,SybrGreen,,26.47,26.47,0,
B6,,,NTC,SybrGreen,,26.74,26.74,0,
B7,,,Unknown,SybrGreen,,9.17,9.17,0,
B8,,,Unknown,SybrGreen,,10.05,10.05,0,
B9,,,Unknown,SybrGreen,,11,11,0,
B10,,,Unknown,SybrGreen,,11.04,11.04,0,
B11,,,Unknown,SybrGreen,,16.27,16.27,0,
B12,,,Unknown,SybrGreen,,15.97,15.97,0,
C1,,,Unknown,SybrGreen,,11.53,11.53,0,
C2,,,Unknown,SybrGreen,,10.99,10.99,0,
C3,,,Unknown,SybrGreen,,7.38,7.38,0,
C4,,,Unknown,SybrGreen,,7.18,7.18,0,
C5,,,Unknown,SybrGreen,,18.44,18.44,0,
C6,,,Unknown,SybrGreen,,18.39,18.39,0,
C7,,,Unknown,SybrGreen,,8.52,8.52,0,
C8,,,Unknown,SybrGreen,,8.26,8.26,0,
C9,,,Unknown,SybrGreen,,13.57,13.57,0,
C10,,,Unknown,SybrGreen,,13.76,13.76,0,
C11,,,Unknown,SybrGreen,,13.08,13.08,0,
C12,,,Unknown,SybrGreen,,13.37,13.37,0,
D1,,,Unknown,SybrGreen,,10.88,10.88,0,
D2,,,Unknown,SybrGreen,,10.6,10.6,0,
D3,,,Unknown,SybrGreen,,9.81,9.81,0,
D4,,,Unknown,SybrGreen,,9.54,9.54,0,
D5,,,Unknown,SybrGreen,,10.79,10.79,0,
D6,,,Unknown,SybrGreen,,11,11,0,
